word_id	word	postag	lemma	gold_head	gold_label	pred_head	pred_label

1	ujjvalakAYcanakAntiBiH	i. pl. n.	ujjvalakAYcanakAntiBiH	2	viseranam	2	viseranam
2	campakEH	i. pl. n.	campakEH	3	karwa	3	karwa
3	yutaM	pp.	yutaM	5	viseranam	5	viseranam
4	sPuwam	acc. sg. m.	sPuwam	5	viseranam	5	viseranam
5	aSokaM	acc. sg. m.	aSokaM	6	karma	6	karma
6	BidABftaH	g. sg. m.	BidABftaH	7	rartisambanxah	8	viseranam
7	virahiRaM	acc. sg. m.	virahiRaM	10	viseranam	13	karma
8	hfdayasya	g. sg. n.	hfdayasya	9	rartisambanxah	9	rartisambanxah
9	madanaagninA	i. sg. m.	madanaagninA	13	karanam	13	karwa
10	kapiSitaM	acc. sg. n.	kapiSitaM	13	karma	11	karma
11	piSitam	pp.	piSitam	12	prawiyogi	12	prawiyogi
12	iva	ind.	iva	10	anuyogi	13	anuyogi
13	aSoBata	impft. [1] md. sg. 3	aSoBata	0	root	0	root

1	tAm	acc. sg. f.	tAm	6	karma	6	karma
2	sapadi	conj.	sapadi	6	viseranam	6	axikaranam
3	tava	g. sg. n.	tava	4	upapaxasambanxah	4	rartisambanxah
4	samIpam	conj.	samIpam	6	axikaranam	6	axikaranam
5	aham	nom. sg. n.	aham	6	karwa	6	karwa
6	Anaye	pr. ps. sg. 1	Anaye	7	prawiyogi	7	prawiyogi
7	iti	conj.	iti	8	anuyogi	8	anuyogi
8	mayA	inst. sg. n.	mayA	11	karwa	11	karwa
9	tasya	g. sg. m.	tasya	10	upapaxasambanxah	10	rartisambanxah
10	agrataH	conj.	agrataH	11	axikaranam	11	axikaranam
11	aByaDAyi	impft. md. sg. 3	aByaDAyi	0	root	0	root

1	vaDUH	nom. sg. f.	vaDUH	12	karwa	12	karwa
2	purastAt	ind.	purastAt	6	sambanxah	6	sambanxah
3	<_UNK>	g. sg. f.	<_UNK>	4	viseranam	4	viseranam
4	<_UNK>	g. sg. f.	<_UNK>	5	rartisambanxah	5	rartisambanxah
5	<_UNK>	pp.	<_UNK>	6	karma	6	karma
6	<_UNK>	<_UNK>	<_UNK>	12	bavalakranasapwami_samanakalah	12	bavalakranasapwami_samanakalah
7	<_UNK>	i. sg. f.	<_UNK>	12	karanam	12	karwa
8	<_UNK>	g. pl. f.	<_UNK>	9	upapaxasambanxah	9	upapaxasambanxah
9	puraH	ind.	puraH	12	sambanxah	12	sambanxah
10	<_UNK>	nom. sg. n.	<_UNK>	12	kriyaviseranam	12	viseranam
11	<_UNK>	acc. sg. m.	<_UNK>	12	karma	12	karma
12	<_UNK>	pft. ac. pl. 3	<_UNK>	0	root	0	root

1	alaGutarastanEH	i. pl. m.	alaGutarastanEH	3	viseranam	2	viseranam
2	svanadBiH	<_UNK>	svanadBiH	3	viseranam	3	viseranam
3	avikacalocanaaravindEH	i. pl. m.	avikacalocanaaravindEH	12	karanam	4	viseranam
4	AyAsAt	abl. sg. m.	AyAsAt	5	hewuh	5	hewuh
5	SrAntAnAM	pp.	SrAntAnAM	6	viseranam	6	rartisambanxah
6	yozitAM	g. pl. f.	yozitAM	8	rartisambanxah	7	rartisambanxah
7	tEH	i. pl. m.	tEH	8	viseranam	12	karwa
8	samUhEH	i. pl. m.	samUhEH	12	karwa	12	karwa
9	urvInihitacalapadam	nom. sg. n.	urvInihitacalapadam	12	kriyaviseranam	12	karma
10	aByamBaH	ind.	aByamBaH	12	karma	12	viseranam
11	kaTamapi	ind.	kaTamapi	12	kriyaviseranam	12	kriyaviseranam
12	pracele	<_UNK>	pracele	0	root	0	root

1	<_UNK>	i. pl. m.	<_UNK>	13	karanam	13	karanam
2	<_UNK>	i. pl. m.	<_UNK>	3	prawiyogi	3	prawiyogi
3	iva	ind.	iva	1	anuyogi	4	anuyogi
4	paTikAH	nom. pl. m.	paTikAH	13	karwa	13	karwa
5	<_UNK>	nom. pl. m.	<_UNK>	6	prawiyogi	6	prawiyogi
6	iva	ind.	iva	4	anuyogi	4	anuyogi
7	<_UNK>	i. sg. f.	<_UNK>	9	viseranam	9	viseranam
8	vacasaH	g. sg. n.	vacasaH	9	rartisambanxah	9	rartisambanxah
9	<_UNK>	i. sg. f.	<_UNK>	10	hewuh	10	hewuh
10	<_UNK>	pp.	<_UNK>	4	viseranam	13	bavalakranasapwami_samanakalah
11	<_UNK>	g. sg. m.	<_UNK>	12	rartisambanxah	12	rartisambanxah
12	vaSam	acc. sg. m.	vaSam	13	karma	13	karma
13	<_UNK>	pft. ac. pl. 3	<_UNK>	0	root	0	root

1	anAvaraRA	nom. sg. f.	anAvaraRA	3	viseranam	2	viseranam
2	yA	nom. sg. f.	yA	3	viseranam	6	karwa
3	aDarapallavakzatiH	nom. sg. f.	aDarapallavakzatiH	6	karma	6	karanam
4	himamArutEH	i. pl. m.	himamArutEH	6	karwa	6	karanam
5	BfSam	ind.	BfSam	6	kriyaviseranam	6	kriyaviseranam
6	adUyata	impft. ps. sg. 3	adUyata	0	root	10	samucciwam
7	sItkftEH	i. pl. m.	sItkftEH	13	karanam	10	samucciwam
8	sitena	pp.	sitena	9	viseranam	10	samucciwam
9	daSanaraSmipawena	i. sg. m.	daSanaraSmipawena	11	karanam	10	samucciwam
10	ca	ind.	ca	11	sambanxah	13	karwa
11	nivasitA	<_UNK>	nivasitA	12	prawiyogi	12	prawiyogi
12	iva	ind.	iva	9	anuyogi	13	anuyogi
13	sunirvavO	pft. ac. sg. 3	sunirvavO	0	root	0	root

1	etasmin	loc. sg. m.	etasmin	13	axikaranam	2	viseranam
2	aDikapayaHSriyaM	acc. sg. f.	aDikapayaHSriyaM	3	karma	3	karma
3	vahantyaH	<_UNK>	vahantyaH	13	bavalakranasapwami_samanakalah	4	purvakalah
4	pavanaBuvA	i. sg. m.	pavanaBuvA	7	karwa	13	karwa
5	javena	i. sg. m.	javena	4	viseranam	6	viseranam
6	saMkzoBaM	acc. sg. m.	saMkzoBaM	7	karma	7	karma
7	nItAH	pp.	nItAH	0	root	8	viseranam
8	mahAsarasyaH	nom. pl. f.	mahAsarasyaH	13	karwa	9	rartisambanxah
9	arahitarAmalakzmaRAnAM	g. pl. f.	arahitarAmalakzmaRAnAM	10	rartisambanxah	12	rartisambanxah
10	vAlmIkeH	g. sg. m.	vAlmIkeH	11	rartisambanxah	12	rartisambanxah
11	girAM	g. pl. f.	girAM	12	rartisambanxah	12	rartisambanxah
12	sADarmyaM	acc. sg. n.	sADarmyaM	13	karma	13	karma
13	daDati	pr. [3] ac. pl. 3	daDati	0	root	0	root

